attempted_iteration,successful_optimizer_steps,processed_nimg,processed_kimg,loss,grad_scale,step_skipped,schedule,stage,next_loop_cur_tick,loss_ema,loss_reference,correction,signal_updates,adaptive_active,r_over_t_mean,gap_mean,elapsed_sec,peak_vram_gb
37,28,4736.0,4.736000,29.37427664,128,0,adaptive_v1,0,1,23.8251122381,16.2829611748,-0.0181623292593,9,1,0.967717008574,0.0322829914256,36.720065,2.502289
38,29,4864.0,4.864000,30.00233054,128,0,adaptive_v1,0,1,23.8251122381,16.2829611748,-0.0181623292593,9,1,0.967249426252,0.0327505737479,37.519842,2.502289
39,30,4992.0,4.992000,30.26888275,128,0,adaptive_v1,0,1,23.8251122381,16.2829611748,-0.0181623292593,9,1,0.967669342066,0.0323306579341,38.302731,2.502289
40,31,5120.0,5.120000,28.23508620,128,0,adaptive_v1,0,1,24.3896154176,16.2829611748,-0.0191699449526,10,1,0.968117838742,0.031882161258,39.087002,2.502289
41,32,5248.0,5.248000,35.07940674,128,0,adaptive_v1,0,1,24.3896154176,16.2829611748,-0.0191699449526,10,1,0.965306219955,0.0346937800446,39.866565,2.502289
42,33,5376.0,5.376000,32.00740552,128,0,adaptive_v1,0,1,24.3896154176,16.2829611748,-0.0191699449526,10,1,0.966226991067,0.0337730089332,40.620031,2.502289
43,34,5504.0,5.504000,31.37236452,128,0,adaptive_v1,0,1,25.2326264351,16.2829611748,-0.0206000368411,11,1,0.96596147253,0.0340385274703,41.382455,2.502289
44,35,5632.0,5.632000,30.98580527,128,0,adaptive_v1,0,1,25.2326264351,16.2829611748,-0.0206000368411,11,1,0.965019778428,0.0349802215715,42.141641,2.502289
45,36,5760.0,5.760000,32.62795520,128,0,adaptive_v1,0,1,25.2326264351,16.2829611748,-0.0206000368411,11,1,0.964417006371,0.0355829936291,42.947067,2.502289
46,37,5888.0,5.888000,27.22335553,128,0,adaptive_v1,0,1,25.2326264351,16.2829611748,-0.0206000368411,11,1,0.965727076106,0.0342729238939,43.712546,2.502289
47,38,6016.0,6.016000,29.12899470,128,0,adaptive_v1,0,1,25.7085165593,16.2829611748,-0.0213696665006,12,1,0.965479037679,0.0345209623207,44.469402,2.502289
48,39,6144.0,6.144000,29.90916681,128,0,adaptive_v1,0,1,25.7085165593,16.2829611748,-0.0213696665006,12,1,0.964206211162,0.0357937888376,45.236102,2.502289
49,40,6272.0,6.272000,28.62142992,128,0,adaptive_v1,0,1,25.7085165593,16.2829611748,-0.0213696665006,12,1,0.964475073094,0.0355249269063,46.007346,2.502289
50,41,6400.0,6.400000,32.24996042,128,0,adaptive_v1,0,1,25.7085165593,16.2829611748,-0.0213696665006,12,1,0.963821032661,0.0361789673386,46.805637,2.502289
51,42,6528.0,6.528000,28.64594865,128,0,adaptive_v1,0,1,26.1233275485,16.2829611748,-0.0220192951895,13,1,0.964234727161,0.0357652728394,47.592629,2.502289
52,43,6656.0,6.656000,32.01491094,128,0,adaptive_v1,0,1,26.1233275485,16.2829611748,-0.0220192951895,13,1,0.96291613558,0.0370838644201,48.367822,2.502289
53,44,6784.0,6.784000,32.41565466,128,0,adaptive_v1,0,1,26.1233275485,16.2829611748,-0.0220192951895,13,1,0.963063710156,0.0369362898441,49.147854,2.502289
54,45,6912.0,6.912000,30.86878514,128,0,adaptive_v1,0,1,26.1233275485,16.2829611748,-0.0220192951895,13,1,0.963479791051,0.0365202089492,49.924224,2.502289
55,46,7040.0,7.040000,30.61588931,128,0,adaptive_v1,0,1,26.6588757948,16.2829611748,-0.0228298276014,14,1,0.96349601089,0.0365039891102,50.714726,2.502289
