g,a_g,eta_fixed,eta_H_matched,eta_A_matched,A_residual_relative,sample_operator_rms_residual_relative,T_update_residual_relative,E_fixed_K20,E_fixed_K50,E_fixed_K100,E_fixed_K200,E_fixed_K500,E_fixed_K1000,E_H_matched_K20,E_H_matched_K50,E_H_matched_K100,E_H_matched_K200,E_H_matched_K500,E_H_matched_K1000,E_A_matched_K20,E_A_matched_K50,E_A_matched_K100,E_A_matched_K200,E_A_matched_K500,E_A_matched_K1000
0.5,0.5004892285949304,7.408336149524141e-06,2.9575438832360075e-05,1.4802188990804551e-05,5.911084475124827e-06,5.091245966278721e-06,1.3582339774635302e-05,0.00019838362928431755,0.0001960101221187149,0.0001921859228683826,0.00018500287588031866,0.00016668882473435732,0.00014446031040201858,0.00035448404368368684,0.0011288242578512155,0.010609241799835337,1.0939250625447023,1232665.627094247,1.5043174832059938e+16,0.00021478049736579636,0.00024120895533960216,0.0002995723684094646,0.0004987018450972557,0.003263533650224841,0.09936562918237014
0.55,0.550484336308982,7.408336149524141e-06,2.4447290717240186e-05,1.3457850952122111e-05,5.32049610652141e-06,4.582569311515439e-06,1.2225300815300972e-05,0.00019915337609241351,0.00019790265049836973,0.00019586701376585712,0.00019196518913967102,0.0001814004358096602,0.0001666911079340735,0.0003102897900740722,0.0007395695248842487,0.00416728914002435,0.1640317758191707,10719.348535690036,1137629349833.0225,0.00021478052022032122,0.00024120901495396492,0.00029957249940929724,0.0004987021881641999,0.0032635367124461824,0.0993657298143905
0.6,0.6004696594511327,7.408336149524141e-06,2.0546532221949193e-05,1.233756948901603e-05,4.729792255218194e-06,4.073793191962821e-06,1.0867996504769889e-05,0.0002000997430030307,0.00020025979363052512,0.00020055191428027625,0.00020121696824862908,0.00020365471804436003,0.000208477237713587,0.0002821147154022658,0.0005468671275825642,0.0020884829880570954,0.039318107998636775,300.12058827223524,891807125.7527196,0.0002147805430793343,0.00024120907458003406,0.0002995726304348517,0.0004987025312985032,0.0032635397752692158,0.099365830466224
0.65,0.6504451980213866,7.408336149524141e-06,1.7510528241575102e-05,1.1389639237955533e-05,4.138972887345869e-06,3.564917578462097e-06,9.510426764279655e-06,0.00020122729527362047,0.00020311207254743207,0.0002063691184547731,0.00021331304016315375,0.00023762832171990854,0.0002912025679831799,0.000263026065439815,0.0004390691796990862,0.0012463414457046429,0.013149262889483053,19.17285894274656,3639696.6181834317,0.00021478056594283342,0.00024120913421780255,0.0002995727614861072,0.0004987028745000762,0.0032635428386920337,0.09936593113774543
0.7,0.7004109520197421,7.408336149524141e-06,1.5101316711474387e-05,1.057712779641876e-05,3.548037969025963e-06,3.0559424418181194e-06,8.152591516136268e-06,0.00020254151136661568,0.00020649696819854995,0.0002134828718919249,0.0002290197129658205,0.00029046094996816347,0.0004652947407093658,0.0002494816673988096,0.0003731099515126942,0.0008445465611095619,0.005612362563281483,2.2250599958543646,49018.27444062357,0.0002147805888108225,0.00024120919386728132,0.00029957289256309126,0.0004987032177690124,0.003263545902716208,0.09936603182904805
0.75,0.7503669214461988,7.408336149524141e-06,1.3157497990646468e-05,9.872951402556353e-06,2.956987466331631e-06,2.5468677528297162e-06,6.794490681838735e-06,0.00020404882445885136,0.00021045971795921904,0.00022210074793730067,0.0002493940605444793,0.00037464193466040505,0.0008569559460773587,0.00023951825964537132,0.00032992677473990247,0.0006281720797911449,0.0028779700698374983,0.40162223131103486,1596.4469465390985,0.00021478061168330102,0.0002412092535284686,0.0002995730236657971,0.0004987035611052784,0.003263548967340848,0.09936613254007155
0.8,0.8003131063007559,7.408336149524141e-06,1.1566469493093966e-05,9.256797234981311e-06,2.36582134535855e-06,2.0376934822890884e-06,5.4361241843897326e-06,0.00020575667155520123,0.00021505429256264637,0.0002324835153540285,0.0002758991553342834,0.0005125969699918703,0.0018023782316980924,0.0002319751108381975,0.0003001390115911656,0.0005004480596513289,0.0016990759070244137,0.10117595777043081,101.17302105798504,0.0002147806345602708,0.00024120931320136958,0.00029957315479423854,0.0004987039045089231,0.003263552032566847,0.09936623327086608
0.85,0.8502495065834139,7.408336149524141e-06,1.0247735302855535e-05,8.713131959691817e-06,1.7745395721892944e-06,1.5284196009709844e-06,4.077491945914851e-06,0.00020767355069842535,0.00022034458221401021,0.0002449579424651523,0.00031057247327941724,0.0007457365241008501,0.004257081453896392,0.0002261291244798349,0.0002787279511826155,0.0004195023751812475,0.0011192164021394562,0.032938876332043475,10.680947348364233,0.0002147806574417339,0.000241209372885989,0.0002995732859484239,0.0004987042479799594,0.003263555098394043,0.09936633402141574
0.9,0.9001761222941747,7.408336149524141e-06,9.142515385313431e-06,8.229874094686462e-06,1.183142112881424e-06,1.0190460796511484e-06,2.7185938873164304e-06,0.00020980908685221358,0.00022640582735724142,0.0002599333991010711,0.00035627385423393505,0.0011527988153341214,0.01112415062117243,0.00022151000773650413,0.00026282134611132417,0.00036524882568944204,0.0008032138779914885,0.013111231295591837,1.677276145904153,0.00021478068032769167,0.00024120943258233122,0.00029957341712836595,0.0004987045915184349,0.0032635581648233014,0.09936643479177061
0.95,0.9500929534330371,7.408336149524141e-06,8.207076557472287e-06,7.79748562785892e-06,5.916289334809968e-07,5.095728890804021e-07,1.3594299314339912e-06,0.0002121741071263562,0.00023332633760245994,0.00027792340708234886,0.0004170537576024677,0.0018880934712124655,0.03184753178275941,0.00021780067562347032,0.0002506819560218391,0.000327218913356775,0.000616469479345814,0.006127972426243963,0.3602478159175829,0.0002147807032181452,0.00024120949229039886,0.00029957354833406915,0.0004987049351243546,0.003263561231854451,0.09936653558191376
