arm,attempted_iterations,correction_clamp,correction_max,correction_mean,correction_min,correction_saturation_rate,correction_sign_flips,correction_std,final_correction,final_loss,first_adapted_pair_iteration,first_nonzero_correction_iteration,gap_max,gap_mean,gap_min,minimum_finite_loss,nan_inf_count,normalized_loss_auc,peak_gpu_memory_gb,r_over_t_max,r_over_t_mean,r_over_t_min,signal_updates,skipped_steps,successful_steps,trailing_100_mean,trailing_100_median,trailing_100_std,trailing_25_mean,trailing_25_median,trailing_25_std,trailing_50_mean,trailing_50_median,trailing_50_std,wall_time_seconds
sigmoid,8000,,,,,,,,,16.77903271,,,,,,12.51593566,0,16.659747160242773,2.426729,,,,,13,7987,16.2883404576,16.307300509999997,1.041926294247584,16.1079650264,16.21914923,0.9524960410832125,16.2933293582,16.208322705,0.9251349281597794,6811.020206
adaptive_v1,8000,0.01,0.00402080691908,0.0037456725832970563,3.66536915368e-05,0.0,0,0.00036712059973618484,0.00391628849673,17.3858794,129,129,0.0155177241311,0.010775597477013104,0.00893201069397,13.20623493,0,17.20331839192717,2.426729,0.991067989306,0.9892244025229887,0.984482275869,2048,15,7985,16.8322541565,16.69880158,1.0795515197890224,16.67150715,16.81525397,0.9881173683988997,16.8429638964,16.809074520000003,0.9738494209812143,6403.940569
