mode,fid_min,fid_mean,fid_std,kid_min,kid_mean,kid_std,kid_x1000_mean,images_per_second,ms_per_image,peak_memory_gb
NFE=1,7.65823066197661,7.7753411131822805,0.11299776512069107,0.004654421471059322,0.004767270603527625,0.00010208288664534912,4.767270603527625,1149.071,0.87,1.542
NFE=2,2.6761110851193552,2.7022722247267614,0.024466128624093576,0.0008825805853120983,0.000910972497270753,2.508021782471672e-05,0.910972497270753,573.412,1.744,1.542
