attempted_iteration,successful_optimizer_steps,processed_nimg,processed_kimg,loss,grad_scale,step_skipped,schedule,stage,next_loop_cur_tick,loss_ema,loss_reference,correction,signal_updates,adaptive_active,r_over_t_mean,gap_mean,elapsed_sec,peak_vram_gb
1,0,128.0,0.128000,16.76820278,65536,1,adaptive_v1,0,1,,,0,0,0,0.98491249914,0.0150875008604,7.985569,5.777862
2,0,256.0,0.256000,16.27315915,32768,1,adaptive_v1,0,1,,,0,0,0,0.985574877821,0.0144251221789,9.280475,2.083918
3,0,384.0,0.384000,17.29041457,16384,1,adaptive_v1,0,1,,,0,0,0,0.985275775324,0.0147242246763,10.006610,2.083918
4,0,512.0,0.512000,16.38761914,8192,1,adaptive_v1,0,1,16.6798489094,,0,1,0,0.985492496759,0.0145075032408,10.738432,2.083918
5,0,640.0,0.640000,15.23610234,4096,1,adaptive_v1,0,1,16.6798489094,,0,1,0,0.985239337039,0.0147606629609,11.481187,2.083918
6,0,768.0,0.768000,15.10405636,2048,1,adaptive_v1,0,1,16.6798489094,,0,1,0,0.985965760549,0.0140342394509,12.217153,2.083918
7,0,896.0,0.896000,15.90382826,1024,1,adaptive_v1,0,1,16.6798489094,,0,1,0,0.9852627738,0.0147372262004,12.947063,2.083918
8,0,1024.0,1.024000,15.49614954,512,1,adaptive_v1,0,1,16.555367431,16.555367431,0,2,0,0.98562232903,0.0143776709703,13.680814,2.083918
9,1,1152.0,1.152000,16.74735999,256,0,adaptive_v1,0,1,16.555367431,16.555367431,0,2,0,0.985831321408,0.0141686785925,14.487119,2.083918
10,2,1280.0,1.280000,21.30993652,256,0,adaptive_v1,0,1,16.555367431,16.555367431,0,2,0,0.985591207443,0.0144087925573,15.243661,2.505019
11,2,1408.0,1.408000,28.27693605,256,1,adaptive_v1,0,1,16.555367431,16.555367431,0,2,0,0.98548544767,0.0145145523295,15.984245,2.505019
12,3,1536.0,1.536000,30.65508723,128,0,adaptive_v1,0,1,17.324563683,16.555367431,-0.00226918988973,3,1,0.98507345889,0.0149265411096,16.781029,2.505019
13,4,1664.0,1.664000,29.57915473,128,0,adaptive_v1,0,1,17.324563683,16.555367431,-0.00226918988973,3,1,0.982532196625,0.0174678033755,17.570609,2.505019
14,5,1792.0,1.792000,24.69841743,128,0,adaptive_v1,0,1,17.324563683,16.555367431,-0.00226918988973,3,1,0.983730251847,0.0162697481532,18.319043,2.505019
15,6,1920.0,1.920000,24.23099232,128,0,adaptive_v1,0,1,17.324563683,16.555367431,-0.00226918988973,3,1,0.98354185009,0.0164581499097,19.106517,2.505019
16,7,2048.0,2.048000,22.89990592,128,0,adaptive_v1,0,1,18.1273190745,16.555367431,-0.00452308988341,4,1,0.983607535503,0.0163924644972,19.892554,2.505019
