attempted_iteration,successful_optimizer_steps,processed_nimg,processed_kimg,loss,grad_scale,step_skipped,schedule,stage,next_loop_cur_tick,loss_ema,loss_reference,correction,signal_updates,adaptive_active,r_over_t_mean,gap_mean,elapsed_sec,peak_vram_gb
1,0,128.0,0.128000,16.76820278,65536,1,sigmoid,0,1,,,0,0,0,0.98491249914,0.0150875008604,8.082805,5.777679
2,0,256.0,0.256000,16.27315915,32768,1,sigmoid,0,1,,,0,0,0,0.985574877821,0.0144251221789,9.352198,2.086741
3,0,384.0,0.384000,17.29041457,16384,1,sigmoid,0,1,,,0,0,0,0.985275775324,0.0147242246763,10.090817,2.086741
4,0,512.0,0.512000,16.38761914,8192,1,sigmoid,0,1,,,0,0,0,0.985492496759,0.0145075032408,10.828153,2.086741
5,0,640.0,0.640000,15.23610234,4096,1,sigmoid,0,1,,,0,0,0,0.985239337039,0.0147606629609,11.566947,2.086741
6,0,768.0,0.768000,15.10405636,2048,1,sigmoid,0,1,,,0,0,0,0.985965760549,0.0140342394509,12.312111,2.086741
7,0,896.0,0.896000,15.90382826,1024,1,sigmoid,0,1,,,0,0,0,0.9852627738,0.0147372262004,13.055607,2.086741
8,0,1024.0,1.024000,15.49614954,512,1,sigmoid,0,1,,,0,0,0,0.98562232903,0.0143776709703,13.815513,2.086741
9,1,1152.0,1.152000,16.74735999,256,0,sigmoid,0,1,,,0,0,0,0.985831321408,0.0141686785925,14.616837,2.086741
10,2,1280.0,1.280000,21.30993652,256,0,sigmoid,0,1,,,0,0,0,0.985591207443,0.0144087925573,15.369131,2.502289
11,2,1408.0,1.408000,28.27693605,256,1,sigmoid,0,1,,,0,0,0,0.98548544767,0.0145145523295,16.110448,2.502289
12,3,1536.0,1.536000,30.65508723,128,0,sigmoid,0,1,,,0,0,0,0.98507345889,0.0149265411096,16.880648,2.502289
13,4,1664.0,1.664000,29.63978744,128,0,sigmoid,0,1,,,0,0,0,0.984801404152,0.0151985958483,17.621564,2.502289
14,5,1792.0,1.792000,24.86112189,128,0,sigmoid,0,1,,,0,0,0,0.985999461376,0.0140005386238,18.355547,2.502289
15,6,1920.0,1.920000,24.19995570,128,0,sigmoid,0,1,,,0,0,0,0.985811055777,0.0141889442232,19.092731,2.502289
16,7,2048.0,2.048000,22.85813355,128,0,sigmoid,0,1,,,0,0,0,0.985876744073,0.014123255927,19.826963,2.502289
17,8,2176.0,2.176000,21.35335088,128,0,sigmoid,0,1,,,0,0,0,0.986172526003,0.0138274739969,20.569145,2.502289
18,9,2304.0,2.304000,24.72663498,128,0,sigmoid,0,1,,,0,0,0,0.985503995875,0.0144960041255,21.304124,2.502289
19,10,2432.0,2.432000,22.42235589,128,0,sigmoid,0,1,,,0,0,0,0.986224414915,0.0137755850851,22.055249,2.502289
20,11,2560.0,2.560000,21.42156768,128,0,sigmoid,0,1,,,0,0,0,0.986164189194,0.0138358108063,22.835943,2.502289
21,12,2688.0,2.688000,23.51047850,128,0,sigmoid,0,1,,,0,0,0,0.985486696373,0.0145133036273,23.616633,2.502289
22,13,2816.0,2.816000,25.06256795,128,0,sigmoid,0,1,,,0,0,0,0.985422287211,0.0145777127895,24.358308,2.502289
23,14,2944.0,2.944000,23.72997499,128,0,sigmoid,0,1,,,0,0,0,0.985467059929,0.0145329400711,25.103782,2.502289
24,15,3072.0,3.072000,26.15452981,128,0,sigmoid,0,1,,,0,0,0,0.984977290851,0.0150227091492,25.848330,2.502289
25,16,3200.0,3.200000,23.53131628,128,0,sigmoid,0,1,,,0,0,0,0.985432273483,0.0145677265174,26.609594,2.502289
26,17,3328.0,3.328000,22.89935660,128,0,sigmoid,0,1,,,0,0,0,0.985799931684,0.0142000683163,27.351963,2.502289
27,18,3456.0,3.456000,23.77842855,128,0,sigmoid,0,1,,,0,0,0,0.985803647481,0.014196352519,28.089467,2.502289
28,19,3584.0,3.584000,21.89143372,128,0,sigmoid,0,1,,,0,0,0,0.986144871577,0.0138551284227,28.830004,2.502289
29,20,3712.0,3.712000,23.64882445,128,0,sigmoid,0,1,,,0,0,0,0.985446403735,0.0145535962655,29.580393,2.502289
30,21,3840.0,3.840000,24.50857782,128,0,sigmoid,0,1,,,0,0,0,0.985361471587,0.0146385284134,30.324054,2.502289
31,22,3968.0,3.968000,26.86310315,128,0,sigmoid,0,1,,,0,0,0,0.984636046743,0.0153639532572,31.070730,2.502289
