budget_kimg,nfe,training_seed,fixed_kid5k,adaptive_kid5k,delta_kid5k,fixed_fid5k,adaptive_fid5k,delta_fid5k
16,1,0,0.5911149978637695,0.5948042273521423,0.0036892294883728027,483.6696420342726,484.78286903856355,1.113227004290934
16,1,1,0.4374769330024719,0.4278477430343628,-0.00962918996810913,381.84189640961847,375.53195760880396,-6.309938800814507
16,1,2,0.567756175994873,0.5735194087028503,0.005763232707977295,475.8780162559483,478.2201833557063,2.342167099758001
16,2,0,0.24365437030792236,0.2451242357492447,0.0014698654413223267,238.35642663442655,239.5964191589499,1.239992524523359
16,2,1,0.2847936749458313,0.28532806038856506,0.0005343854427337646,278.5354496890211,278.94094193957403,0.4054922505529248
16,2,2,0.3588750958442688,0.36032578349113464,0.0014506876468658447,330.29187425815263,331.1610005332725,0.8691262751198678
32,1,0,0.48868125677108765,0.4890937805175781,0.0004125237464904785,435.11671879076783,435.31356889065256,0.19685009988472757
32,1,1,0.5125685930252075,0.513994038105011,0.0014254450798034668,441.65582202990106,441.9636796001353,0.30785757023426186
32,1,2,0.5092737078666687,0.5107670426368713,0.0014933347702026367,448.6397706192315,449.4239786522884,0.7842080330568706
32,2,0,0.3879791796207428,0.3888939917087555,0.0009148120880126953,353.04425818876825,353.5467423298096,0.5024841410413501
32,2,1,0.21514341235160828,0.21717694401741028,0.002033531665802002,216.32016200544206,218.282160794282,1.961998788839935
32,2,2,0.42143067717552185,0.42848312854766846,0.0070524513721466064,374.85480094568607,379.05337980788005,4.198578862193983
64,1,0,0.4878055155277252,0.48724865913391113,-0.0005568563938140869,429.5904741914846,429.7458044055775,0.15533021409288494
64,1,1,0.4751233458518982,0.4754484295845032,0.00032508373260498047,418.23088510630885,418.42141522198887,0.1905301156800192
64,1,2,0.5190601348876953,0.5199764966964722,0.0009163618087768555,437.3195436021108,437.9850438086264,0.6655002065156168
64,2,0,0.4059482514858246,0.4068980813026428,0.0009498298168182373,364.87099871412147,365.5074929430672,0.6364942289457076
64,2,1,0.28407230973243713,0.27491092681884766,-0.009161382913589478,270.97941291841283,263.31739343516506,-7.662019483247775
64,2,2,0.428162544965744,0.4338109493255615,0.005648404359817505,377.60478135599294,380.97130757057425,3.366526214581313
