schedule,training_seed,first_signal_update_iteration,first_nonzero_correction_iteration,first_adapted_pair_iteration,final_fast_loss_ema,final_slow_loss_ema,correction_positive_count,correction_zero_count,correction_negative_count,correction_sign_flip_count,saturation_ratio,nonfinite_signal_count,attempted_iterations,successful_optimizer_steps,amp_skipped_steps,nan_loss_count,inf_loss_count,correction_mean,correction_std,correction_min,correction_max,adaptive_rho_mean,adaptive_rho_std,adaptive_rho_min,adaptive_rho_max,adaptive_gap_mean,adaptive_gap_std,adaptive_gap_min,adaptive_gap_max,trailing_50_loss_mean,trailing_50_loss_std,trailing_50_loss_median
sigmoid,0,,,,,,0,2000,0,0,0.0,0,2000,1992,8,0,0,0.0,0.0,0.0,0.0,0.9855761193867545,0.0004768641705686662,0.984114742929,0.987297483569,0.01442388061325235,0.000476864170571118,0.0127025164309,0.0158852570711,16.238064575600003,0.9096652280551687,16.15242767
adaptive_v2_dualema,0,4,33,33,16.2948922964,16.2885713269,872,32,1096,71,0.008,0,2000,1992,8,0,0,7.27480405483197e-05,0.0008326496358193753,-0.00157616145491,0.00303991285244,0.985648825907733,0.0009444047602522049,0.982940201808,0.989478304194,0.01435117409227165,0.0009444047602557566,0.0105216958062,0.0170597981918,16.216724243199998,0.9207495317204565,16.2035265
sigmoid,1,,,,,,0,2000,0,0,0.0,0,2000,1992,8,0,0,0.0,0.0,0.0,0.0,0.9855907173189005,0.0004995664748675445,0.984067304724,0.987127489423,0.01440928268109375,0.0004995664748642467,0.0128725105769,0.0159326952764,16.235629367599998,0.9409230362944687,16.23179531
adaptive_v2_dualema,1,4,33,33,16.202197937,16.2502476915,1050,32,918,74,0.0,0,2000,1992,8,0,0,8.406977066156532e-05,0.0007140774777920548,-0.00177323964737,0.00263281148375,0.985674785884375,0.0008686120568259592,0.982894883276,0.988946013502,0.0143252141156275,0.0008686120568314185,0.011053986498,0.0171051167236,16.226576786,0.925407412803188,16.1898756
sigmoid,2,,,,,,0,2000,0,0,0.0,0,2000,1992,8,0,0,0.0,0.0,0.0,0.0,0.9855667222902516,0.0004655749964401159,0.983980127638,0.987188280468,0.0144332777097434,0.00046557499643966424,0.0128117195319,0.0160198723623,16.033928298600003,1.0320650572203827,16.084906574999998
adaptive_v2_dualema,2,4,33,33,16.1041278774,16.1830369168,843,32,1125,81,0.002,0,2000,1992,8,0,0,3.119191804647381e-05,0.0008475834363388115,-0.00208920733578,0.00291606183614,0.98559791318987,0.000960037262394852,0.982713096401,0.989490805271,0.0144020868101287,0.0009600372623834503,0.0105091947294,0.0172869035994,16.0084277916,1.0393740396368056,16.050764085
