training_seed,nfe,fixed_kid5k_full,adaptive_kid5k_full,delta_kid5k_full,fixed_fid5k_full,adaptive_fid5k_full,delta_fid5k_full
0,1,0.5911151766777039,0.5948042273521423,0.0036890506744384766,483.6697334149404,484.78286794037683,1.1131345254364078
0,2,0.24365434050559998,0.2451242208480835,0.0014698803424835205,238.3564254947073,239.59641797869833,1.239992483991017
1,1,0.43927493691444397,0.4075940251350403,-0.031680911779403687,382.9858992534891,362.11764428668954,-20.868254966799554
1,2,0.28470897674560547,0.28383347392082214,-0.0008755028247833252,278.4626347454963,276.3634119465571,-2.099222798939195
2,1,0.5667053461074829,0.5734773278236389,0.006771981716156006,475.3754563680849,478.1760770668619,2.8006206987770383
2,2,0.35868123173713684,0.36038437485694885,0.0017031431198120117,330.1752915575563,331.1959638405271,1.0206722829707928
