budget_kimg,nfe,metric,fixed_mean,fixed_sample_sd,adaptive_mean,adaptive_sample_sd,mean_delta_adaptive_minus_fixed,sample_sd_delta,adaptive_wins,fixed_wins,ties
16,1,kid5k,0.5321160356203715,0.0827878520558222,0.5320571263631185,0.09087330497210373,-5.890925725301107e-05,0.008352728715944927,1,2,0
16,1,fid5k,447.1298515666131,56.67508424787449,446.17833666769127,61.26948968648252,-0.9515148989218574,4.681036581126288,1,2,0
16,2,kid5k,0.2957743803660075,0.05838994619730381,0.29692602654298145,0.05846993898338683,0.0011516461769739788,0.0005346494715943614,0,3,0
16,2,fid5k,282.3945835272001,46.089058548959905,283.2327872105988,45.932919485229206,0.8382036833987172,0.41810863638921303,0,3,0
32,1,kid5k,0.5035078525543213,0.012945463450241597,0.5046182870864868,0.013541089435267582,0.0011104345321655273,0.0006053609262966984,0,3,0
32,1,fid5k,441.8041038133001,6.7627452491051825,442.2337423810254,7.059080417415107,0.4296385677252867,0.312042134859212,0,3,0
32,2,kid5k,0.3415177563826243,0.11071407676585912,0.34485135475794476,0.11232716193053918,0.0033335983753204346,0.003268835279183477,0,3,0
32,2,fid5k,314.73974037996544,85.92866226936185,316.9607609773239,86.40455277022677,2.221020597358423,1.8616117398370777,0,3,0
64,1,kid5k,0.49399633208910626,0.022613160216266495,0.49422452847162884,0.023069119076043757,0.000228196382522583,0.0007413726033957645,1,2,0
64,1,fid5k,428.38030096663476,9.601698298631634,428.71742114539757,9.822274174871069,0.33712017876284034,0.2849295355664654,0,3,0
64,2,kid5k,0.37272770206133526,0.07757707554713655,0.37187331914901733,0.08504325229609384,-0.0008543829123179117,0.007567948034300615,1,2,0
64,2,fid5k,337.8183976628424,58.23336428837144,336.5987313162688,63.93276352498652,-1.2196663465735849,5.743797011895547,1,2,0
