attempted_iteration,successful_optimizer_steps,processed_kimg,loss,grad_scale,step_skipped,schedule,stage,next_loop_cur_tick,loss_ema,loss_reference,correction,signal_updates,adaptive_active,r_over_t_mean,gap_mean,seconds,peak_vram_mib
34,25,4.352000,23.84510088,128,false,adaptive_v1,0,1,19.8048510725,16.5599003881,-0.00885284904165,8,1,0.976425098025,0.0235749019754,35.482272,2562.343936
35,26,4.480000,25.54105282,128,false,adaptive_v1,0,1,19.8048510725,16.5599003881,-0.00885284904165,8,1,0.97595604639,0.0240439536104,36.221847,2562.343936
36,27,4.608000,23.58629560,128,false,adaptive_v1,0,1,20.2168620564,16.5599003881,-0.00984631771423,9,1,0.97680874094,0.0231912590603,36.974252,2562.343936
37,28,4.736000,23.22638059,128,false,adaptive_v1,0,1,20.2168620564,16.5599003881,-0.00984631771423,9,1,0.975592009805,0.0244079901953,37.707168,2562.343936
38,29,4.864000,25.00328112,128,false,adaptive_v1,0,1,20.2168620564,16.5599003881,-0.00984631771423,9,1,0.974727347007,0.0252726529926,38.438329,2562.343936
39,30,4.992000,24.50992203,128,false,adaptive_v1,0,1,20.2168620564,16.5599003881,-0.00984631771423,9,1,0.975316451204,0.0246835487958,39.196211,2562.343936
40,31,5.120000,23.50806355,128,false,adaptive_v1,0,1,20.6013670329,16.5599003881,-0.0107483538527,10,1,0.975553951276,0.0244460487238,39.937104,2562.343936
41,32,5.248000,21.46598709,128,false,adaptive_v1,0,1,20.6013670329,16.5599003881,-0.0107483538527,10,1,0.975558392227,0.0244416077732,40.675178,2562.343936
42,33,5.376000,18.97285271,128,false,adaptive_v1,0,1,20.6013670329,16.5599003881,-0.0107483538527,10,1,0.976021433409,0.0239785665907,41.414464,2562.343936
43,34,5.504000,21.28013873,128,false,adaptive_v1,0,1,20.5985296137,16.5599003881,-0.0107417849533,11,1,0.975755627086,0.0242443729139,42.171721,2562.343936
44,35,5.632000,23.73162603,128,false,adaptive_v1,0,1,20.5985296137,16.5599003881,-0.0107417849533,11,1,0.974341579732,0.0256584202683,42.913037,2562.343936
45,36,5.760000,22.13866317,128,false,adaptive_v1,0,1,20.5985296137,16.5599003881,-0.0107417849533,11,1,0.975043385705,0.0249566142947,43.651072,2562.343936
46,37,5.888000,22.79291129,128,false,adaptive_v1,0,1,20.5985296137,16.5599003881,-0.0107417849533,11,1,0.974796610178,0.0252033898224,44.396185,2562.343936
47,38,6.016000,22.10065317,128,false,adaptive_v1,0,1,20.8077729941,16.5599003881,-0.0112227464771,12,1,0.974924184646,0.0250758153539,45.145148,2562.343936
48,39,6.144000,24.45503855,128,false,adaptive_v1,0,1,20.8077729941,16.5599003881,-0.0112227464771,12,1,0.973613717604,0.0263862823964,45.877609,2562.343936
49,40,6.272000,22.61790776,128,false,adaptive_v1,0,1,20.8077729941,16.5599003881,-0.0112227464771,12,1,0.974201773618,0.0257982263825,46.609330,2562.343936
50,41,6.400000,24.62543440,128,false,adaptive_v1,0,1,20.8077729941,16.5599003881,-0.0112227464771,12,1,0.973492283276,0.0265077167238,47.357409,2562.343936
51,42,6.528000,22.62487388,128,false,adaptive_v1,0,1,21.0850770593,16.5599003881,-0.0118494449129,13,1,0.97442065546,0.0255793445395,48.093500,2562.343936
52,43,6.656000,22.62270617,128,false,adaptive_v1,0,1,21.0850770593,16.5599003881,-0.0118494449129,13,1,0.973516100991,0.0264838990093,48.822920,2562.343936
53,44,6.784000,23.02041578,128,false,adaptive_v1,0,1,21.0850770593,16.5599003881,-0.0118494449129,13,1,0.973649176923,0.0263508230771,49.559639,2562.343936
54,45,6.912000,21.40458512,128,false,adaptive_v1,0,1,21.0850770593,16.5599003881,-0.0118494449129,13,1,0.973648487972,0.0263515120276,50.306117,2562.343936
55,46,7.040000,20.75860214,128,false,adaptive_v1,0,1,21.171727084,16.5599003881,-0.0120427952718,14,1,0.974204743991,0.025795256009,51.037544,2562.343936
56,47,7.168000,23.43845320,128,false,adaptive_v1,0,1,21.171727084,16.5599003881,-0.0120427952718,14,1,0.97321771375,0.0267822862497,51.773675,2562.343936
57,48,7.296000,20.31973982,128,false,adaptive_v1,0,1,21.171727084,16.5599003881,-0.0120427952718,14,1,0.974296395711,0.0257036042888,52.510224,2562.343936
58,49,7.424000,21.69682622,128,false,adaptive_v1,0,1,21.171727084,16.5599003881,-0.0120427952718,14,1,0.973897788492,0.0261022115082,53.257869,2562.343936
59,50,7.552000,21.67308259,128,false,adaptive_v1,0,1,21.2327569212,16.5599003881,-0.0121782749356,15,1,0.97372562576,0.0262743742399,53.997262,2562.343936
60,51,7.680000,23.41662335,128,false,adaptive_v1,0,1,21.2327569212,16.5599003881,-0.0121782749356,15,1,0.973004262408,0.026995737592,54.723686,2562.343936
61,52,7.808000,22.29405451,128,false,adaptive_v1,0,1,21.2327569212,16.5599003881,-0.0121782749356,15,1,0.973395399239,0.0266046007612,55.470452,2562.343936
62,53,7.936000,23.93424249,128,false,adaptive_v1,0,1,21.2327569212,16.5599003881,-0.0121782749356,15,1,0.972875283652,0.0271247163482,56.210020,2562.343936
63,54,8.064000,20.86075068,128,false,adaptive_v1,0,1,21.3721230047,16.5599003881,-0.012485489372,16,1,0.973844312936,0.0261556870641,56.944335,2562.343936
64,55,8.192000,20.84703362,128,false,adaptive_v1,0,1,21.3721230047,16.5599003881,-0.012485489372,16,1,0.97360936789,0.0263906321098,57.677375,2562.343936
65,56,8.320000,18.33692670,128,false,adaptive_v1,0,1,21.3721230047,16.5599003881,-0.012485489372,16,1,0.974500389129,0.0254996108708,58.432672,2562.343936
66,57,8.448000,22.39619064,128,false,adaptive_v1,0,1,21.3721230047,16.5599003881,-0.012485489372,16,1,0.972527904924,0.0274720950757,59.173214,2562.343936
67,58,8.576000,21.88776517,128,false,adaptive_v1,0,1,21.3216086075,16.5599003881,-0.0123744835888,17,1,0.973268655706,0.0267313442935,59.900318,2562.343936
68,59,8.704000,21.47484469,128,false,adaptive_v1,0,1,21.3216086075,16.5599003881,-0.0123744835888,17,1,0.972980365294,0.0270196347057,60.621493,2562.343936
69,60,8.832000,22.29049659,128,false,adaptive_v1,0,1,21.3216086075,16.5599003881,-0.0123744835888,17,1,0.973296945699,0.0267030543013,61.357537,2562.343936
70,61,8.960000,21.63654733,128,false,adaptive_v1,0,1,21.3216086075,16.5599003881,-0.0123744835888,17,1,0.973649809551,0.0263501904492,62.084083,2562.343936
71,62,9.088000,22.59456301,128,false,adaptive_v1,0,1,21.3893590372,16.5599003881,-0.0125232757722,18,1,0.972790700424,0.0272092995762,62.985378,2562.343936
72,63,9.216000,20.86995614,128,false,adaptive_v1,0,1,21.3893590372,16.5599003881,-0.0125232757722,18,1,0.973059239851,0.0269407601487,63.716375,2562.343936
73,64,9.344000,21.96988344,128,false,adaptive_v1,0,1,21.3893590372,16.5599003881,-0.0125232757722,18,1,0.972781609739,0.0272183902605,64.440845,2562.343936
74,65,9.472000,21.67081690,128,false,adaptive_v1,0,1,21.3893590372,16.5599003881,-0.0125232757722,18,1,0.973089107384,0.0269108926158,65.172258,2562.343936
75,66,9.600000,21.11577511,128,false,adaptive_v1,0,1,21.3910839231,16.5599003881,-0.0125270547093,19,1,0.973374348297,0.0266256517029,65.907775,2562.343936
76,67,9.728000,21.98700666,128,false,adaptive_v1,0,1,21.3910839231,16.5599003881,-0.0125270547093,19,1,0.972870346694,0.0271296533058,66.630976,2562.343936
77,68,9.856000,22.23261642,128,false,adaptive_v1,0,1,21.3910839231,16.5599003881,-0.0125270547093,19,1,0.972671870614,0.0273281293856,67.351539,2562.343936
78,69,9.984000,22.03936028,128,false,adaptive_v1,0,1,21.3910839231,16.5599003881,-0.0125270547093,19,1,0.972686715893,0.0273132841075,68.071807,2562.343936
79,70,10.112000,22.15955687,128,false,adaptive_v1,0,1,21.4624390367,16.5599003881,-0.0126829815785,20,1,0.972829123883,0.027170876117,68.806837,2562.343936
80,71,10.240000,22.30471683,128,false,adaptive_v1,0,1,21.4624390367,16.5599003881,-0.0126829815785,20,1,0.972367201507,0.0276327984931,69.542044,2562.343936
81,72,10.368000,21.65376663,128,false,adaptive_v1,0,1,21.4624390367,16.5599003881,-0.0126829815785,20,1,0.972916528777,0.0270834712234,70.266478,2562.343936
82,73,10.496000,21.81629252,128,false,adaptive_v1,0,1,21.4624390367,16.5599003881,-0.0126829815785,20,1,0.972546863969,0.027453136031,70.991703,2562.343936
83,74,10.624000,23.54935575,128,false,adaptive_v1,0,1,21.5492984262,16.5599003881,-0.0128717371959,21,1,0.971787679852,0.028212320148,71.717531,2562.343936
84,75,10.752000,20.45988691,128,false,adaptive_v1,0,1,21.5492984262,16.5599003881,-0.0128717371959,21,1,0.972817061641,0.0271829383588,72.455678,2562.343936
85,76,10.880000,20.96580386,128,false,adaptive_v1,0,1,21.5492984262,16.5599003881,-0.0128717371959,21,1,0.972781614181,0.0272183858187,73.179175,2562.343936
86,77,11.008000,22.36082387,128,false,adaptive_v1,0,1,21.5205857383,16.5599003881,-0.012809468592,22,1,0.972116965017,0.0278830349834,73.904258,2562.343936
87,78,11.136000,18.07140350,128,false,adaptive_v1,0,1,21.5205857383,16.5599003881,-0.012809468592,22,1,0.973934321292,0.0260656787077,74.626966,2562.343936
88,79,11.264000,20.48097003,128,false,adaptive_v1,0,1,21.5205857383,16.5599003881,-0.012809468592,22,1,0.973093917305,0.0269060826951,75.350870,2562.343936
89,80,11.392000,20.91164112,128,false,adaptive_v1,0,1,21.5205857383,16.5599003881,-0.012809468592,22,1,0.97247425459,0.0275257454098,76.072535,2562.343936
90,81,11.520000,21.62263107,128,false,adaptive_v1,0,1,21.3956933075,16.5599003881,-0.0125371508571,23,1,0.972570106436,0.0274298935643,76.794858,2562.343936
91,82,11.648000,21.77464819,128,false,adaptive_v1,0,1,21.3956933075,16.5599003881,-0.0125371508571,23,1,0.972614002141,0.0273859978587,77.518921,2562.343936
92,83,11.776000,21.34043455,128,false,adaptive_v1,0,1,21.3956933075,16.5599003881,-0.0125371508571,23,1,0.972433411246,0.0275665887541,78.242092,2562.343936
93,84,11.904000,21.09227395,128,false,adaptive_v1,0,1,21.3956933075,16.5599003881,-0.0125371508571,23,1,0.972801374749,0.0271986252512,78.967917,2562.343936
94,85,12.032000,21.74049377,128,false,adaptive_v1,0,1,21.4048202384,16.5599003881,-0.0125571323627,24,1,0.97249375638,0.0275062436204,79.691691,2562.343936
95,86,12.160000,18.15492570,128,false,adaptive_v1,0,1,21.4048202384,16.5599003881,-0.0125571323627,24,1,0.97392475009,0.0260752499104,80.412843,2562.343936
96,87,12.288000,22.50505829,128,false,adaptive_v1,0,1,21.4048202384,16.5599003881,-0.0125571323627,24,1,0.972372361658,0.0276276383418,81.133274,2562.343936
97,88,12.416000,19.04407978,128,false,adaptive_v1,0,1,21.4048202384,16.5599003881,-0.0125571323627,24,1,0.973114278564,0.0268857214365,81.857771,2562.343936
98,89,12.544000,20.09910822,128,false,adaptive_v1,0,1,21.2594175144,16.5599003881,-0.012237277102,25,1,0.973183816865,0.0268161831348,82.584020,2562.343936
99,90,12.672000,20.70820045,128,false,adaptive_v1,0,1,21.2594175144,16.5599003881,-0.012237277102,25,1,0.973237969037,0.0267620309627,83.310106,2562.343936
100,91,12.800000,19.09232569,128,false,adaptive_v1,0,1,21.2594175144,16.5599003881,-0.012237277102,25,1,0.97408059589,0.0259194041101,84.035955,2562.343936
101,92,12.928000,20.82753325,128,false,adaptive_v1,0,1,21.2594175144,16.5599003881,-0.012237277102,25,1,0.973308538143,0.0266914618575,84.763664,2562.343936
102,93,13.056000,20.93775856,128,false,adaptive_v1,0,1,21.1726212117,16.5599003881,-0.0120447843199,26,1,0.972911108071,0.0270888919295,85.489671,2562.343936
103,94,13.184000,21.25457120,128,false,adaptive_v1,0,1,21.1726212117,16.5599003881,-0.0120447843199,26,1,0.972856372851,0.0271436271492,86.213825,2562.343936
104,95,13.312000,19.68627572,128,false,adaptive_v1,0,1,21.1726212117,16.5599003881,-0.0120447843199,26,1,0.973351477724,0.0266485222757,86.944011,2562.343936
105,96,13.440000,19.78062654,128,false,adaptive_v1,0,1,21.1726212117,16.5599003881,-0.0120447843199,26,1,0.973897723494,0.0261022765058,87.667335,2562.343936
106,97,13.568000,17.28603101,128,false,adaptive_v1,0,1,21.0055467021,16.5599003881,-0.0116709475523,27,1,0.974837315124,0.0251626848764,88.388895,2562.343936
107,98,13.696000,18.01331818,128,false,adaptive_v1,0,1,21.0055467021,16.5599003881,-0.0116709475523,27,1,0.974708904441,0.0252910955595,89.109739,2562.343936
108,99,13.824000,19.88788652,128,false,adaptive_v1,0,1,21.0055467021,16.5599003881,-0.0116709475523,27,1,0.973704692143,0.026295307857,89.830904,2562.343936
109,100,13.952000,21.59405684,128,false,adaptive_v1,0,1,21.0055467021,16.5599003881,-0.0116709475523,27,1,0.973130865453,0.0268691345467,90.552720,2562.343936
110,101,14.080000,20.57008910,128,false,adaptive_v1,0,1,20.9066257982,16.5599003881,-0.0114475425162,28,1,0.973363889806,0.0266361101936,91.274551,2562.343936
111,102,14.208000,20.86841846,128,false,adaptive_v1,0,1,20.9066257982,16.5599003881,-0.0114475425162,28,1,0.973611635313,0.0263883646869,91.998555,2562.343936
112,103,14.336000,21.51986980,128,false,adaptive_v1,0,1,20.9066257982,16.5599003881,-0.0114475425162,28,1,0.973560391517,0.0264396084831,92.721332,2562.343936
113,104,14.464000,19.91318882,128,false,adaptive_v1,0,1,20.9066257982,16.5599003881,-0.0114475425162,28,1,0.973981569077,0.0260184309233,93.442739,2562.343936
114,105,14.592000,19.78775191,128,false,adaptive_v1,0,1,20.8681939431,16.5599003881,-0.0113603305732,29,1,0.974202427768,0.025797572232,94.164183,2562.343936
115,106,14.720000,17.99939406,128,false,adaptive_v1,0,1,20.8681939431,16.5599003881,-0.0113603305732,29,1,0.974944358738,0.0250556412625,94.890850,2562.343936
116,107,14.848000,18.50233197,128,false,adaptive_v1,0,1,20.8681939431,16.5599003881,-0.0113603305732,29,1,0.974331629723,0.0256683702773,95.620903,2562.343936
117,108,14.976000,20.19791508,128,false,adaptive_v1,0,1,20.8681939431,16.5599003881,-0.0113603305732,29,1,0.974092995345,0.0259070046551,96.342622,2562.343936
118,109,15.104000,17.75283265,128,false,adaptive_v1,0,1,20.6426863928,16.5599003881,-0.0108438656835,30,1,0.974617901925,0.0253820980751,97.068350,2562.343936
119,110,15.232000,19.85217547,128,false,adaptive_v1,0,1,20.6426863928,16.5599003881,-0.0108438656835,30,1,0.974480716427,0.0255192835726,97.798720,2562.343936
120,111,15.360000,19.77249312,128,false,adaptive_v1,0,1,20.6426863928,16.5599003881,-0.0108438656835,30,1,0.974550573239,0.0254494267607,98.523452,2562.343936
121,112,15.488000,20.25036311,128,false,adaptive_v1,0,1,20.6426863928,16.5599003881,-0.0108438656835,30,1,0.974327354251,0.0256726457489,99.249926,2562.343936
122,113,15.616000,16.75096345,128,false,adaptive_v1,0,1,20.4940676325,16.5599003881,-0.0104990431491,31,1,0.975496357711,0.0245036422888,99.972878,2562.343936
123,114,15.744000,19.96744537,128,false,adaptive_v1,0,1,20.4940676325,16.5599003881,-0.0104990431491,31,1,0.974103512828,0.0258964871718,100.694513,2562.343936
124,115,15.872000,17.62582552,128,false,adaptive_v1,0,1,20.4940676325,16.5599003881,-0.0104990431491,31,1,0.975701598013,0.0242984019867,101.425153,2562.343936
125,116,16.000000,19.72989869,128,false,adaptive_v1,0,2,20.3554331889,16.5599003881,-0.0101741691774,32,1,0.975029554629,0.0249704453707,102.160203,2562.343936
