method,training_seed,budget_kimg,nfe,mid_t,sampling_seed,num_generated,kid_5k,fid_5k,checkpoint_sha256,metric_source,run_dir,training_summary_csv,training_summary_available,training_processed_kimg,training_attempted_iterations,training_successful_optimizer_steps,training_successful_steps_valid,training_amp_skipped,training_amp_skip_rate,training_amp_skip_telemetry_complete,training_nan_count,training_inf_count,training_trailing_loss_mean,training_trailing_loss_std,training_final_loss,adaptive_active,final_correction,correction_abs_max,correction_saturation_fraction,correction_sign_changes,correction_bound_valid,final_r_over_t_mean,final_gap_mean,pair_ratio_valid,pair_gap_valid,controller_telemetry_complete
sigmoid,2,16,2,0.821,0-4999,5000,0.358875095844,330.291874258,3fed09e540f8419db32bac9c1fdfe93033aaad225198ecc2bbce4eccf26b5865,Role-A formal run manifests: sample_seeds=0-4999; sample_count=5000; metric_seed=20260722,/root/ect-runs/paired-training-v1-canonical/sigmoid-traj64-5344a5c9-20260722T065023Z-seed2,/mnt/ect_project/runs/packaged-traj64/sigmoid_traj64_seed2_5344a5c9/train_summary.csv,true,16,125,116,true,9,0.072,true,0,0,31.7242737192,1.83104841656,30.61494064,false,0,0,0,0,true,0.985956209234,0.0140437907661,true,true,true
adaptive_v1,0,32,1,,0-4999,5000,0.489093780518,435.313568891,a9f6c06d22e1e6409680efd31d43fe90714fec4a7b211ea4bd718a6cae810d9c,Role-A formal run manifests: sample_seeds=0-4999; sample_count=5000; metric_seed=20260722,/root/ect-runs/paired-training-v1-canonical/adaptive-v1-traj64-5344a5c9-20260722T063437Z-seed0,/mnt/ect_project/runs/packaged-traj64/adaptive_v1_traj64_seed0_5344a5c9/train_summary.csv,true,32,250,241,true,9,0.036,true,0,0,21.4083288528,1.30611413302,19.93077385,true,-0.0159298212206,0.0254429754712,0,0,true,0.969595466046,0.0304045339536,true,true,true
sigmoid,0,32,1,,0-4999,5000,0.488681256771,435.116718791,cb196bf9d6ba0fdd20858cc64c59a138c625c7584a5a445a37f9bdf9380e8c71,Role-A formal run manifests: sample_seeds=0-4999; sample_count=5000; metric_seed=20260722,/root/ect-runs/paired-training-v1-canonical/sigmoid-traj64-5344a5c9-20260722T062924Z-seed0,/mnt/ect_project/runs/packaged-traj64/sigmoid_traj64_seed0_5344a5c9/train_summary.csv,true,32,250,241,true,9,0.036,true,0,0,20.3904354524,1.19177789199,18.62054765,false,0,0,0,0,true,0.985990140347,0.0140098596528,true,true,true
adaptive_v1,1,32,1,,0-4999,5000,0.513994038105,441.9636796,610f353f4afeebee9e4ab12ee1fa170365d0bb42d138aa0a06c0c087bc4e577e,Role-A formal run manifests: sample_seeds=0-4999; sample_count=5000; metric_seed=20260722,/root/ect-runs/paired-training-v1-canonical/adaptive-v1-traj64-5344a5c9-20260722T064507Z-seed1,/mnt/ect_project/runs/packaged-traj64/adaptive_v1_traj64_seed1_5344a5c9/train_summary.csv,true,32,250,241,true,9,0.036,true,0,0,17.1379210828,1.21493823076,18.0366919,true,-0.0024480608288,0.0143095284118,0,0,true,0.982952975538,0.0170470244623,true,true,true
sigmoid,1,32,1,,0-4999,5000,0.512568593025,441.65582203,e5cc717d278bcd9d5ab7930486c22ce1a81e915a502deb31e6265a3e4e126b90,Role-A formal run manifests: sample_seeds=0-4999; sample_count=5000; metric_seed=20260722,/root/ect-runs/paired-training-v1-canonical/sigmoid-traj64-5344a5c9-20260722T063952Z-seed1,/mnt/ect_project/runs/packaged-traj64/sigmoid_traj64_seed1_5344a5c9/train_summary.csv,true,32,250,241,true,9,0.036,true,0,0,17.305682112,1.22564328049,18.0442518,false,0,0,0,0,true,0.985528614338,0.0144713856619,true,true,true
adaptive_v1,2,32,1,,0-4999,5000,0.510767042637,449.423978652,1c2e266d2e9c02459f10fbbe53c1497e8df8c656d54ea53b6c7ab69c9b3c8060,Role-A formal run manifests: sample_seeds=0-4999; sample_count=5000; metric_seed=20260722,/root/ect-runs/paired-training-v1-canonical/adaptive-v1-traj64-5344a5c9-20260722T065540Z-seed2,/mnt/ect_project/runs/packaged-traj64/adaptive_v1_traj64_seed2_5344a5c9/train_summary.csv,true,32,250,241,true,9,0.036,true,0,0,24.1544348232,1.50580818546,22.06750774,true,-0.0227549678244,0.0292207042167,0,0,true,0.962577599901,0.0374224000993,true,true,true
sigmoid,2,32,1,,0-4999,5000,0.509273707867,448.639770619,3f1bf37bf6512751ab55bc89ad1971c98679c79d5b5979d20b4730d62c64e420,Role-A formal run manifests: sample_seeds=0-4999; sample_count=5000; metric_seed=20260722,/root/ect-runs/paired-training-v1-canonical/sigmoid-traj64-5344a5c9-20260722T065023Z-seed2,/mnt/ect_project/runs/packaged-traj64/sigmoid_traj64_seed2_5344a5c9/train_summary.csv,true,32,250,240,true,10,0.04,true,0,0,21.5642970904,1.19759965026,20.25287247,false,0,0,0,0,true,0.985956209234,0.0140437907661,true,true,true
adaptive_v1,0,32,2,0.821,0-4999,5000,0.388893991709,353.54674233,a9f6c06d22e1e6409680efd31d43fe90714fec4a7b211ea4bd718a6cae810d9c,Role-A formal run manifests: sample_seeds=0-4999; sample_count=5000; metric_seed=20260722,/root/ect-runs/paired-training-v1-canonical/adaptive-v1-traj64-5344a5c9-20260722T063437Z-seed0,/mnt/ect_project/runs/packaged-traj64/adaptive_v1_traj64_seed0_5344a5c9/train_summary.csv,true,32,250,241,true,9,0.036,true,0,0,21.4083288528,1.30611413302,19.93077385,true,-0.0159298212206,0.0254429754712,0,0,true,0.969595466046,0.0304045339536,true,true,true
sigmoid,0,32,2,0.821,0-4999,5000,0.387979179621,353.044258189,cb196bf9d6ba0fdd20858cc64c59a138c625c7584a5a445a37f9bdf9380e8c71,Role-A formal run manifests: sample_seeds=0-4999; sample_count=5000; metric_seed=20260722,/root/ect-runs/paired-training-v1-canonical/sigmoid-traj64-5344a5c9-20260722T062924Z-seed0,/mnt/ect_project/runs/packaged-traj64/sigmoid_traj64_seed0_5344a5c9/train_summary.csv,true,32,250,241,true,9,0.036,true,0,0,20.3904354524,1.19177789199,18.62054765,false,0,0,0,0,true,0.985990140347,0.0140098596528,true,true,true
adaptive_v1,1,32,2,0.821,0-4999,5000,0.217176944017,218.282160794,610f353f4afeebee9e4ab12ee1fa170365d0bb42d138aa0a06c0c087bc4e577e,Role-A formal run manifests: sample_seeds=0-4999; sample_count=5000; metric_seed=20260722,/root/ect-runs/paired-training-v1-canonical/adaptive-v1-traj64-5344a5c9-20260722T064507Z-seed1,/mnt/ect_project/runs/packaged-traj64/adaptive_v1_traj64_seed1_5344a5c9/train_summary.csv,true,32,250,241,true,9,0.036,true,0,0,17.1379210828,1.21493823076,18.0366919,true,-0.0024480608288,0.0143095284118,0,0,true,0.982952975538,0.0170470244623,true,true,true
