attempted_iteration,successful_optimizer_steps,processed_nimg,processed_kimg,loss,grad_scale,step_skipped,schedule,stage,next_loop_cur_tick,loss_ema,loss_reference,correction,signal_updates,adaptive_active,r_over_t_mean,gap_mean,elapsed_sec,peak_vram_gb
1,0,128.0,0.128000,17.43800414,65536,1,adaptive_v1,0,1,,,0,0,0,0.985027313537,0.0149726864625,8.456812,5.775787
2,0,256.0,0.256000,15.58556235,32768,1,adaptive_v1,0,1,,,0,0,0,0.985740699361,0.0142593006393,9.861385,2.087397
3,0,384.0,0.384000,14.58243215,16384,1,adaptive_v1,0,1,,,0,0,0,0.986311333802,0.0136886661981,10.635023,2.087397
4,0,512.0,0.512000,16.70184863,8192,1,adaptive_v1,0,1,16.0769618154,,0,1,0,0.98487265029,0.01512734971,11.411112,2.087397
5,0,640.0,0.640000,16.54862309,4096,1,adaptive_v1,0,1,16.0769618154,,0,1,0,0.985239008737,0.0147609912629,12.213086,2.087397
6,0,768.0,0.768000,14.78065419,2048,1,adaptive_v1,0,1,16.0769618154,,0,1,0,0.98600844441,0.0139915555895,13.025208,2.087397
7,0,896.0,0.896000,15.53694117,1024,1,adaptive_v1,0,1,16.0769618154,,0,1,0,0.985355514752,0.0146444852475,13.851432,2.087397
8,0,1024.0,1.024000,17.26551628,512,1,adaptive_v1,0,1,16.072559002,16.072559002,0,2,0,0.984742251318,0.0152577486823,14.683836,2.087397
9,1,1152.0,1.152000,14.61502850,256,0,adaptive_v1,0,1,16.072559002,16.072559002,0,2,0,0.986664886544,0.0133351134557,15.567173,2.087397
10,1,1280.0,1.280000,20.59399605,256,1,adaptive_v1,0,1,16.072559002,16.072559002,0,2,0,0.985567470675,0.0144325293253,16.337620,2.505386
11,2,1408.0,1.408000,22.77735019,128,0,adaptive_v1,0,1,16.072559002,16.072559002,0,2,0,0.984892679519,0.0151073204805,17.145248,2.505386
12,3,1536.0,1.536000,30.01824546,128,0,adaptive_v1,0,1,16.6654186067,16.072559002,-0.00181032943018,3,1,0.985862367774,0.0141376322257,17.954552,2.505386
13,4,1664.0,1.664000,30.78476787,128,0,adaptive_v1,0,1,16.6654186067,16.072559002,-0.00181032943018,3,1,0.984123927257,0.015876072743,18.775669,2.505386
14,5,1792.0,1.792000,31.62936306,128,0,adaptive_v1,0,1,16.6654186067,16.072559002,-0.00181032943018,3,1,0.983725207168,0.0162747928324,19.572729,2.505386
15,6,1920.0,1.920000,36.07230830,128,0,adaptive_v1,0,1,16.6654186067,16.072559002,-0.00181032943018,3,1,0.983398127531,0.0166018724685,20.349324,2.505386
16,7,2048.0,2.048000,31.88462448,128,0,adaptive_v1,0,1,18.2581533388,16.072559002,-0.00634059649507,4,1,0.984058465954,0.0159415340462,21.130226,2.505386
17,8,2176.0,2.176000,33.31883574,128,0,adaptive_v1,0,1,18.2581533388,16.072559002,-0.00634059649507,4,1,0.97939459013,0.0206054098702,21.918431,2.505386
