attempted_iteration,successful_optimizer_steps,processed_nimg,processed_kimg,loss,grad_scale,step_skipped,schedule,stage,next_loop_cur_tick,loss_ema,loss_reference,correction,signal_updates,adaptive_active,r_over_t_mean,gap_mean,elapsed_sec,peak_vram_gb
46,37,5888.0,5.888000,27.31372356,128,0,sigmoid,0,1,,,0,0,0,0.986327095883,0.0136729041166,43.242679,2.502289
47,38,6016.0,6.016000,29.31458926,128,0,sigmoid,0,1,,,0,0,0,0.986079057812,0.0139209421882,43.991265,2.502289
48,39,6144.0,6.144000,30.07094264,128,0,sigmoid,0,1,,,0,0,0,0.985575874882,0.0144241251182,44.750548,2.502289
49,40,6272.0,6.272000,28.85527015,128,0,sigmoid,0,1,,,0,0,0,0.985844739112,0.0141552608876,45.497809,2.502289
50,41,6400.0,6.400000,32.43338704,128,0,sigmoid,0,1,,,0,0,0,0.98519069867,0.0148093013301,46.244245,2.502289
51,42,6528.0,6.528000,28.78081608,128,0,sigmoid,0,1,,,0,0,0,0.985604395607,0.0143956043929,47.014754,2.502289
52,43,6656.0,6.656000,32.21971512,128,0,sigmoid,0,1,,,0,0,0,0.984935405472,0.0150645945277,47.795931,2.502289
53,44,6784.0,6.784000,32.54088998,128,0,sigmoid,0,1,,,0,0,0,0.985082976615,0.0149170233853,48.564713,2.502289
54,45,6912.0,6.912000,31.03034568,128,0,sigmoid,0,1,,,0,0,0,0.98549905797,0.0145009420301,49.320602,2.502289
55,46,7040.0,7.040000,30.78272438,128,0,sigmoid,0,1,,,0,0,0,0.985515278451,0.014484721549,50.056794,2.502289
56,47,7168.0,7.168000,32.53059745,128,0,sigmoid,0,1,,,0,0,0,0.984973947296,0.0150260527038,50.806454,2.502289
57,48,7296.0,7.296000,31.13359833,128,0,sigmoid,0,1,,,0,0,0,0.985370221037,0.0146297789633,51.560252,2.502289
58,49,7424.0,7.424000,26.89353204,128,0,sigmoid,0,1,,,0,0,0,0.986230887764,0.013769112236,52.322473,2.502289
59,50,7552.0,7.552000,26.14184475,128,0,sigmoid,0,1,,,0,0,0,0.986646705728,0.0133532942723,53.075353,2.502289
60,51,7680.0,7.680000,29.74556303,128,0,sigmoid,0,1,,,0,0,0,0.985584505898,0.0144154941019,53.830710,2.502289
