attempted_iteration,successful_optimizer_steps,processed_kimg,loss,grad_scale,step_skipped,schedule,stage,next_loop_cur_tick,loss_ema,loss_reference,correction,signal_updates,adaptive_active,r_over_t_mean,gap_mean,seconds,peak_vram_mib
1,0,0.128000,17.43800414,65536,true,adaptive_v1,0,1,,,0,0,0,0.985027313537,0.0149726864625,9.954631,5914.405888
2,0,0.256000,15.58556235,32768,true,adaptive_v1,0,1,,,0,0,0,0.985740699361,0.0142593006393,11.192402,2137.494528
3,0,0.384000,14.58243215,16384,true,adaptive_v1,0,1,,,0,0,0,0.986311333802,0.0136886661981,11.911984,2137.494528
4,0,0.512000,16.70184863,8192,true,adaptive_v1,0,1,16.0769618154,,0,1,0,0.98487265029,0.01512734971,12.624929,2137.494528
5,0,0.640000,16.54862309,4096,true,adaptive_v1,0,1,16.0769618154,,0,1,0,0.985239008737,0.0147609912629,13.334674,2137.494528
6,0,0.768000,14.78065419,2048,true,adaptive_v1,0,1,16.0769618154,,0,1,0,0.98600844441,0.0139915555895,14.040647,2137.494528
7,0,0.896000,15.53694117,1024,true,adaptive_v1,0,1,16.0769618154,,0,1,0,0.985355514752,0.0146444852475,14.745868,2137.494528
8,0,1.024000,17.26551628,512,true,adaptive_v1,0,1,16.072559002,16.072559002,0,2,0,0.984742251318,0.0152577486823,15.449945,2137.494528
9,1,1.152000,14.61502850,256,false,adaptive_v1,0,1,16.072559002,16.072559002,0,2,0,0.986664886544,0.0133351134557,17.090816,2137.494528
10,1,1.280000,20.59399605,256,true,adaptive_v1,0,1,16.072559002,16.072559002,0,2,0,0.985567470675,0.0144325293253,17.807698,2565.515264
11,2,1.408000,22.77735019,128,false,adaptive_v1,0,1,16.072559002,16.072559002,0,2,0,0.984892679519,0.0151073204805,18.524863,2565.515264
12,3,1.536000,30.01600957,128,false,adaptive_v1,0,1,16.6653627095,16.072559002,-0.00181016194546,3,1,0.985862367774,0.0141376322257,19.242618,2565.515264
13,4,1.664000,30.76855516,128,false,adaptive_v1,0,1,16.6653627095,16.072559002,-0.00181016194546,3,1,0.984124108108,0.0158758918917,19.977760,2565.515264
14,5,1.792000,31.59141970,128,false,adaptive_v1,0,1,16.6653627095,16.072559002,-0.00181016194546,3,1,0.983725386624,0.016274613376,20.694118,2565.515264
15,6,1.920000,36.07750893,128,false,adaptive_v1,0,1,16.6653627095,16.072559002,-0.00181016194546,3,1,0.983398309095,0.016601690905,21.448502,2565.515264
16,7,2.048000,31.88261509,128,false,adaptive_v1,0,1,18.2568289104,16.072559002,-0.0063370277084,4,1,0.984058643193,0.0159413568074,22.164120,2565.515264
17,8,2.176000,33.33635116,128,false,adaptive_v1,0,1,18.2568289104,16.072559002,-0.0063370277084,4,1,0.979398170539,0.020601829461,22.883770,2565.515264
18,9,2.304000,34.27182937,128,false,adaptive_v1,0,1,18.2568289104,16.072559002,-0.0063370277084,4,1,0.978990745884,0.0210092541162,23.603835,2565.515264
19,10,2.432000,30.39032412,128,false,adaptive_v1,0,1,18.2568289104,16.072559002,-0.0063370277084,4,1,0.980037449428,0.0199625505722,24.323506,2565.515264
20,11,2.560000,34.46758413,128,false,adaptive_v1,0,1,19.7427982387,16.072559002,-0.0101411717023,5,1,0.978895123968,0.0211048760316,25.045823,2565.515264
21,12,2.688000,32.53055668,128,false,adaptive_v1,0,1,19.7427982387,16.072559002,-0.0101411717023,5,1,0.975717052164,0.024282947836,25.764332,2565.515264
22,13,2.816000,33.36939692,128,false,adaptive_v1,0,1,19.7427982387,16.072559002,-0.0101411717023,5,1,0.975490839586,0.0245091604141,26.481606,2565.515264
23,14,2.944000,36.33389854,128,false,adaptive_v1,0,1,19.7427982387,16.072559002,-0.0101411717023,5,1,0.975016203553,0.0249837964469,27.197404,2565.515264
24,15,3.072000,35.72158527,128,false,adaptive_v1,0,1,21.2174043504,16.072559002,-0.0135391412985,6,1,0.975180800036,0.0248191999639,27.923337,2565.515264
25,16,3.200000,32.13511872,128,false,adaptive_v1,0,1,21.2174043504,16.072559002,-0.0135391412985,6,1,0.971944226225,0.0280557737753,28.647506,2565.515264
26,17,3.328000,31.19362521,128,false,adaptive_v1,0,1,21.2174043504,16.072559002,-0.0135391412985,6,1,0.972619850898,0.0273801491022,29.380133,2565.515264
27,18,3.456000,30.96148038,128,false,adaptive_v1,0,1,21.2174043504,16.072559002,-0.0135391412985,6,1,0.972575854289,0.0274241457111,30.112248,2565.515264
28,19,3.584000,36.06118417,128,false,adaptive_v1,0,1,22.3544491274,16.072559002,-0.0159220833112,7,1,0.971535524786,0.0284644752139,30.838554,2565.515264
29,20,3.712000,37.46028829,128,false,adaptive_v1,0,1,22.3544491274,16.072559002,-0.0159220833112,7,1,0.968699554297,0.0313004457028,31.562817,2565.515264
30,21,3.840000,28.91942525,128,false,adaptive_v1,0,1,22.3544491274,16.072559002,-0.0159220833112,7,1,0.97067568091,0.0293243190896,32.287366,2565.515264
31,22,3.968000,34.75409985,128,false,adaptive_v1,0,1,22.3544491274,16.072559002,-0.0159220833112,7,1,0.969299325582,0.0307006744177,33.012591,2565.515264
32,23,4.096000,32.39588332,128,false,adaptive_v1,0,1,23.4572466322,16.072559002,-0.0180513388483,8,1,0.969827795357,0.0301722046432,33.742514,2565.515264
33,24,4.224000,32.53783607,128,false,adaptive_v1,0,1,23.4572466322,16.072559002,-0.0180513388483,8,1,0.967517233856,0.0324827661444,34.466734,2565.515264
34,25,4.352000,35.06630397,128,false,adaptive_v1,0,1,23.4572466322,16.072559002,-0.0180513388483,8,1,0.967077614361,0.0329223856388,35.194473,2565.515264
35,26,4.480000,30.88990474,128,false,adaptive_v1,0,1,23.4572466322,16.072559002,-0.0180513388483,8,1,0.967897619422,0.0321023805783,35.920268,2565.515264
36,27,4.608000,34.59208822,128,false,adaptive_v1,0,1,24.4386752941,16.072559002,-0.0198066388062,9,1,0.967428294103,0.0325717058968,36.646055,2565.515264
37,28,4.736000,34.46339059,128,false,adaptive_v1,0,1,24.4386752941,16.072559002,-0.0198066388062,9,1,0.96560735839,0.0343926416099,37.368532,2565.515264
38,29,4.864000,30.88995147,128,false,adaptive_v1,0,1,24.4386752941,16.072559002,-0.0198066388062,9,1,0.966304492196,0.0336955078037,38.092023,2565.515264
39,30,4.992000,32.11625457,128,false,adaptive_v1,0,1,24.4386752941,16.072559002,-0.0198066388062,9,1,0.965888018052,0.0341119819476,38.814218,2565.515264
40,31,5.120000,34.14763737,128,false,adaptive_v1,0,1,25.2852386145,16.072559002,-0.0212224954704,10,1,0.965528133416,0.0344718665839,39.555819,2565.515264
41,32,5.248000,32.60841727,128,false,adaptive_v1,0,1,25.2852386145,16.072559002,-0.0212224954704,10,1,0.964569168367,0.0354308316327,40.285042,2565.515264
42,33,5.376000,31.61261034,128,false,adaptive_v1,0,1,25.2852386145,16.072559002,-0.0212224954704,10,1,0.964643708225,0.0353562917755,41.008298,2565.515264
43,34,5.504000,32.41863537,128,false,adaptive_v1,0,1,25.9780368524,16.072559002,-0.0223177076159,11,1,0.964165975397,0.0358340246035,41.734205,2565.515264
44,35,5.632000,32.79626894,128,false,adaptive_v1,0,1,25.9780368524,16.072559002,-0.0223177076159,11,1,0.963413109254,0.0365868907461,42.461990,2565.515264
45,36,5.760000,31.29644585,128,false,adaptive_v1,0,1,25.9780368524,16.072559002,-0.0223177076159,11,1,0.96348390705,0.0365160929504,43.187016,2565.515264
46,37,5.888000,32.81862545,128,false,adaptive_v1,0,1,25.9780368524,16.072559002,-0.0223177076159,11,1,0.963357108778,0.0366428912218,43.912783,2565.515264
47,38,6.016000,32.48495793,128,false,adaptive_v1,0,1,26.6151406214,16.072559002,-0.0232772256095,12,1,0.963432422759,0.0365675772414,44.636722,2565.515264
48,39,6.144000,32.73819470,128,false,adaptive_v1,0,1,26.6151406214,16.072559002,-0.0232772256095,12,1,0.962289453845,0.0377105461554,45.369298,2565.515264
49,40,6.272000,32.08754396,128,false,adaptive_v1,0,1,26.6151406214,16.072559002,-0.0232772256095,12,1,0.962399986075,0.0376000139245,46.095156,2565.515264
50,41,6.400000,34.14203715,128,false,adaptive_v1,0,1,26.6151406214,16.072559002,-0.0232772256095,12,1,0.962129651772,0.0378703482283,46.817199,2565.515264
51,42,6.528000,30.17696118,128,false,adaptive_v1,0,1,27.1822449844,16.072559002,-0.0240947914543,13,1,0.963047957377,0.0369520426233,47.542305,2565.515264
52,43,6.656000,27.72623944,128,false,adaptive_v1,0,1,27.1822449844,16.072559002,-0.0240947914543,13,1,0.962532442281,0.0374675577194,48.266441,2565.515264
53,44,6.784000,31.65611434,128,false,adaptive_v1,0,1,27.1822449844,16.072559002,-0.0240947914543,13,1,0.961796172843,0.0382038271569,48.993145,2565.515264
54,45,6.912000,31.80115604,128,false,adaptive_v1,0,1,27.1822449844,16.072559002,-0.0240947914543,13,1,0.961800817307,0.0381991826932,49.717870,2565.515264
55,46,7.040000,32.50417709,128,false,adaptive_v1,0,1,27.5562126589,16.072559002,-0.0246158732288,14,1,0.961840489487,0.0381595105129,50.449088,2565.515264
56,47,7.168000,32.97093964,128,false,adaptive_v1,0,1,27.5562126589,16.072559002,-0.0246158732288,14,1,0.960954887886,0.0390451121145,51.174710,2565.515264
57,48,7.296000,33.61921644,128,false,adaptive_v1,0,1,27.5562126589,16.072559002,-0.0246158732288,14,1,0.96062921225,0.0393707877501,51.899553,2565.515264
58,49,7.424000,35.25773716,128,false,adaptive_v1,0,1,27.5562126589,16.072559002,-0.0246158732288,14,1,0.960315879723,0.0396841202772,52.633566,2565.515264
59,50,7.552000,37.35179138,128,false,adaptive_v1,0,1,28.2805835085,16.072559002,-0.0255861806508,15,1,0.959763454736,0.0402365452645,53.389930,2565.515264
60,51,7.680000,30.68230939,128,false,adaptive_v1,0,1,28.2805835085,16.072559002,-0.0255861806508,15,1,0.960494046457,0.0395059535431,54.139962,2565.515264
61,52,7.808000,29.76642632,128,false,adaptive_v1,0,1,28.2805835085,16.072559002,-0.0255861806508,15,1,0.960484362656,0.0395156373435,54.894764,2565.515264
62,53,7.936000,32.49580956,128,false,adaptive_v1,0,1,28.2805835085,16.072559002,-0.0255861806508,15,1,0.960019843628,0.039980156372,55.647903,2565.515264
63,54,8.064000,31.31845832,128,false,adaptive_v1,0,1,28.5591002474,16.072559002,-0.0259460583022,16,1,0.960398513834,0.0396014861659,56.398102,2565.515264
64,55,8.192000,33.19555426,128,false,adaptive_v1,0,1,28.5591002474,16.072559002,-0.0259460583022,16,1,0.959569021217,0.0404309787826,57.145576,2565.515264
65,56,8.320000,32.58158445,128,false,adaptive_v1,0,1,28.5591002474,16.072559002,-0.0259460583022,16,1,0.959418031329,0.0405819686705,57.874772,2565.515264
66,57,8.448000,28.07749796,128,false,adaptive_v1,0,1,28.5591002474,16.072559002,-0.0259460583022,16,1,0.960729055626,0.0392709443744,58.609461,2565.515264
67,58,8.576000,31.08123398,128,false,adaptive_v1,0,1,28.8265869888,16.072559002,-0.0262850155217,17,1,0.959799200866,0.0402007991338,59.334667,2565.515264
68,59,8.704000,28.72796845,128,false,adaptive_v1,0,1,28.8265869888,16.072559002,-0.0262850155217,17,1,0.959963219542,0.0400367804583,60.062538,2565.515264
69,60,8.832000,26.54855108,128,false,adaptive_v1,0,1,28.8265869888,16.072559002,-0.0262850155217,17,1,0.960839882725,0.0391601172748,60.787013,2565.515264
70,61,8.960000,34.32126594,128,false,adaptive_v1,0,1,28.8265869888,16.072559002,-0.0262850155217,17,1,0.958903192073,0.0410968079268,61.510484,2565.515264
71,62,9.088000,31.08994532,128,false,adaptive_v1,0,1,28.9611215597,16.072559002,-0.0264530724442,18,1,0.959739522485,0.0402604775151,62.235126,2565.515264
72,63,9.216000,35.58024216,128,false,adaptive_v1,0,1,28.9611215597,16.072559002,-0.0264530724442,18,1,0.958485845014,0.0415141549864,62.960720,2565.515264
73,64,9.344000,26.35346818,128,false,adaptive_v1,0,1,28.9611215597,16.072559002,-0.0264530724442,18,1,0.960457108846,0.0395428911542,63.701712,2565.515264
74,65,9.472000,29.83205819,128,false,adaptive_v1,0,1,28.9611215597,16.072559002,-0.0264530724442,18,1,0.959831753773,0.0401682462267,64.431659,2565.515264
75,66,9.600000,30.95925355,128,false,adaptive_v1,0,1,29.1331349557,16.072559002,-0.0266656199074,19,1,0.959380690305,0.0406193096954,65.166466,2565.515264
76,67,9.728000,33.06886530,128,false,adaptive_v1,0,1,29.1331349557,16.072559002,-0.0266656199074,19,1,0.958708603853,0.041291396147,65.896702,2565.515264
77,68,9.856000,37.14907169,128,false,adaptive_v1,0,1,29.1331349557,16.072559002,-0.0266656199074,19,1,0.957876819459,0.0421231805408,66.622370,2565.515264
78,69,9.984000,30.20709705,128,false,adaptive_v1,0,1,29.1331349557,16.072559002,-0.0266656199074,19,1,0.959526389364,0.040473610636,67.372976,2565.515264
79,70,10.112000,36.31240797,128,false,adaptive_v1,0,1,29.6382575105,16.072559002,-0.0272750062607,20,1,0.957989435508,0.0420105644919,68.106248,2565.515264
80,71,10.240000,31.75707364,128,false,adaptive_v1,0,1,29.6382575105,16.072559002,-0.0272750062607,20,1,0.958184288973,0.0418157110274,68.835713,2565.515264
81,72,10.368000,31.24536419,128,false,adaptive_v1,0,1,29.6382575105,16.072559002,-0.0272750062607,20,1,0.958482214512,0.0415177854879,69.563144,2565.515264
82,73,10.496000,34.76124597,128,false,adaptive_v1,0,1,29.6382575105,16.072559002,-0.0272750062607,20,1,0.957970710451,0.0420292895487,70.293977,2565.515264
83,74,10.624000,34.85737777,128,false,adaptive_v1,0,1,29.9899582985,16.072559002,-0.027686651986,21,1,0.957881573152,0.0421184268484,71.022750,2565.515264
84,75,10.752000,33.92974377,128,false,adaptive_v1,0,1,29.9899582985,16.072559002,-0.027686651986,21,1,0.957913518169,0.0420864818313,71.752959,2565.515264
85,76,10.880000,31.40148520,128,false,adaptive_v1,0,1,29.9899582985,16.072559002,-0.027686651986,21,1,0.958170166212,0.0418298337875,72.479896,2565.515264
86,77,11.008000,28.84041643,128,false,adaptive_v1,0,1,30.1300173154,16.072559002,-0.0278477692276,22,1,0.959319742487,0.0406802575134,73.207101,2565.515264
87,78,11.136000,31.47166777,128,false,adaptive_v1,0,1,30.1300173154,16.072559002,-0.0278477692276,22,1,0.958245812982,0.0417541870178,73.938621,2565.515264
88,79,11.264000,32.04849148,128,false,adaptive_v1,0,1,30.1300173154,16.072559002,-0.0278477692276,22,1,0.957911539768,0.042088460232,74.665019,2565.515264
89,80,11.392000,31.64343166,128,false,adaptive_v1,0,1,30.1300173154,16.072559002,-0.0278477692276,22,1,0.958077595472,0.0419224045284,75.396238,2565.515264
90,81,11.520000,33.96206236,128,false,adaptive_v1,0,1,30.3451569156,16.072559002,-0.0280921931996,23,1,0.957703554416,0.0422964455844,76.130983,2565.515264
91,82,11.648000,33.96650720,128,false,adaptive_v1,0,1,30.3451569156,16.072559002,-0.0280921931996,23,1,0.956846505776,0.0431534942242,76.860367,2565.515264
92,83,11.776000,28.73692083,128,false,adaptive_v1,0,1,30.3451569156,16.072559002,-0.0280921931996,23,1,0.958975966484,0.0410240335156,77.588120,2565.515264
93,84,11.904000,34.94976807,128,false,adaptive_v1,0,1,30.3451569156,16.072559002,-0.0280921931996,23,1,0.956842589509,0.0431574104909,78.321444,2565.515264
94,85,12.032000,30.70286989,128,false,adaptive_v1,0,1,30.5195428737,16.072559002,-0.0282876330008,24,1,0.957950753291,0.0420492467086,79.054059,2565.515264
95,86,12.160000,29.59389877,128,false,adaptive_v1,0,1,30.5195428737,16.072559002,-0.0282876330008,24,1,0.957711392282,0.0422886077178,79.801024,2565.515264
96,87,12.288000,30.72165895,128,false,adaptive_v1,0,1,30.5195428737,16.072559002,-0.0282876330008,24,1,0.957752125473,0.0422478745271,80.551193,2565.515264
97,88,12.416000,33.05631709,128,false,adaptive_v1,0,1,30.5195428737,16.072559002,-0.0282876330008,24,1,0.956818723872,0.0431812761282,81.303772,2565.515264
98,89,12.544000,30.29008651,128,false,adaptive_v1,0,1,30.5591376193,16.072559002,-0.0283316772906,25,1,0.95757910502,0.0424208949796,82.058848,2565.515264
99,90,12.672000,30.59110093,128,false,adaptive_v1,0,1,30.5591376193,16.072559002,-0.0283316772906,25,1,0.957804222885,0.0421957771148,82.815288,2565.515264
100,91,12.800000,31.58862591,128,false,adaptive_v1,0,1,30.5591376193,16.072559002,-0.0283316772906,25,1,0.957412736065,0.0425872639351,83.570890,2565.515264
101,92,12.928000,28.86529398,128,false,adaptive_v1,0,1,30.5591376193,16.072559002,-0.0283316772906,25,1,0.958225739193,0.0417742608071,84.324151,2565.515264
102,93,13.056000,33.05678391,128,false,adaptive_v1,0,1,30.6057689757,16.072559002,-0.0283833930764,26,1,0.957032954315,0.0429670456848,85.068293,2565.515264
103,94,13.184000,30.83351374,128,false,adaptive_v1,0,1,30.6057689757,16.072559002,-0.0283833930764,26,1,0.957514142829,0.0424858571713,85.789600,2565.515264
104,95,13.312000,32.61378336,128,false,adaptive_v1,0,1,30.6057689757,16.072559002,-0.0283833930764,26,1,0.95719053304,0.0428094669599,86.511378,2565.515264
105,96,13.440000,29.97583818,128,false,adaptive_v1,0,1,30.6057689757,16.072559002,-0.0283833930764,26,1,0.957559523225,0.0424404767745,87.232776,2565.515264
106,97,13.568000,30.29833412,128,false,adaptive_v1,0,1,30.6382288132,16.072559002,-0.0284192929575,27,1,0.957252100823,0.0427478991766,87.979694,2565.515264
107,98,13.696000,29.38808489,128,false,adaptive_v1,0,1,30.6382288132,16.072559002,-0.0284192929575,27,1,0.95742882158,0.0425711784197,88.729692,2565.515264
108,99,13.824000,31.49577999,128,false,adaptive_v1,0,1,30.6382288132,16.072559002,-0.0284192929575,27,1,0.9576251549,0.0423748450996,89.460126,2565.515264
109,100,13.952000,34.09572601,128,false,adaptive_v1,0,1,30.6382288132,16.072559002,-0.0284192929575,27,1,0.956665879241,0.0433341207586,90.182286,2565.515264
110,101,14.080000,31.01588511,128,false,adaptive_v1,0,1,30.724292832,16.072559002,-0.0285140855225,28,1,0.957654435263,0.0423455647374,90.913892,2565.515264
111,102,14.208000,33.34724188,128,false,adaptive_v1,0,1,30.724292832,16.072559002,-0.0285140855225,28,1,0.956790246667,0.0432097533333,91.632800,2565.515264
112,103,14.336000,34.08244467,128,false,adaptive_v1,0,1,30.724292832,16.072559002,-0.0285140855225,28,1,0.95638034893,0.0436196510704,92.357115,2565.515264
113,104,14.464000,30.70385003,128,false,adaptive_v1,0,1,30.724292832,16.072559002,-0.0285140855225,28,1,0.957595014242,0.0424049857582,93.076915,2565.515264
114,105,14.592000,30.74964261,128,false,adaptive_v1,0,1,30.8739430285,16.072559002,-0.0286775660868,29,1,0.957440496759,0.0425595032405,93.799413,2565.515264
115,106,14.720000,33.80851984,128,false,adaptive_v1,0,1,30.8739430285,16.072559002,-0.0286775660868,29,1,0.956706263283,0.043293736717,94.518038,2565.515264
116,107,14.848000,30.00640154,128,false,adaptive_v1,0,1,30.8739430285,16.072559002,-0.0286775660868,29,1,0.957323611251,0.0426763887494,95.236877,2565.515264
117,108,14.976000,31.49939489,128,false,adaptive_v1,0,1,30.8739430285,16.072559002,-0.0286775660868,29,1,0.957195149818,0.0428048501819,95.996382,2565.515264
118,109,15.104000,31.92471385,128,false,adaptive_v1,0,1,30.9675244788,16.072559002,-0.0287789346894,30,1,0.956867820377,0.0431321796231,96.726769,2565.515264
119,110,15.232000,28.99311328,128,false,adaptive_v1,0,1,30.9675244788,16.072559002,-0.0287789346894,30,1,0.957314608632,0.0426853913678,97.526461,2565.515264
120,111,15.360000,30.92165995,128,false,adaptive_v1,0,1,30.9675244788,16.072559002,-0.0287789346894,30,1,0.957091924981,0.0429080750189,98.266999,2565.515264
121,112,15.488000,32.55714393,128,false,adaptive_v1,0,1,30.9675244788,16.072559002,-0.0287789346894,30,1,0.956731503873,0.0432684961274,99.012818,2565.515264
122,113,15.616000,35.14798594,128,false,adaptive_v1,0,1,31.0612696081,16.072559002,-0.0288798220472,31,1,0.956124443366,0.0438755566337,99.763062,2565.515264
